# Binaries that hand out root (or arbitrary file access) the moment they are SUID.
#
# Keyed on the file name, not the path, so /usr/local/bin/find and /tmp/find both match.
# Nothing in here is part of a stock set-id set - if one of these turns up in a
# find -perm -4000 hunt, someone put it there.
#
# risk  privesc  spawns a shell / runs commands as the file owner
#       read     reads any file as the owner (which means /etc/shadow)
#       write    writes any file as the owner (which means /etc/passwd, cron, sudoers)
#       limited  useful, but not a one-step win
#
bin	risk	description
bash	privesc	A SUID shell. "bash -p" keeps the effective uid, so this is a root shell with no exploit at all.
sh	privesc	A SUID shell. "sh -p" keeps the effective uid - instant root.
dash	privesc	A SUID shell. Keeps the effective uid with -p.
zsh	privesc	A SUID shell. Root shell in one command.
ksh	privesc	A SUID shell. Root shell in one command.
csh	privesc	A SUID shell.
tcsh	privesc	A SUID shell.
fish	privesc	A SUID shell.
ash	privesc	A SUID shell (busybox family).
rbash	privesc	A SUID restricted shell, which is trivially escaped.
busybox	privesc	busybox bundles sh - "busybox sh" is a root shell when it is SUID.
find	privesc	"find . -exec /bin/sh -p \; -quit" runs a shell as the owner. The textbook SUID escalation.
vim	privesc	Runs shell commands (:!sh) and reads/writes any file as the owner.
vi	privesc	Same as vim: :!sh gives a shell as the owner.
view	privesc	vim in read-only mode - still runs :!sh.
rvim	privesc	Restricted vim; the restriction is escapable via Python/Lua interfaces.
rview	privesc	Restricted view; same escape as rvim.
vimdiff	privesc	vim front end - same :!sh escape.
nvim	privesc	Neovim runs shell commands as the owner.
nano	write	Nano can write any file as the owner (^R^X also runs commands in some builds) - enough to add a root user to /etc/passwd.
pico	write	nano's alias; same file-write escalation.
emacs	privesc	"emacs -Q -nw --eval '(term \"/bin/sh -p\")'" spawns a shell as the owner.
ed	privesc	The ed editor can shell out with "!/bin/sh".
less	privesc	"!/bin/sh" from the pager spawns a shell as the owner, and it reads any file.
more	privesc	Same pager escape as less when the output does not fit the screen.
most	privesc	Pager with a shell escape.
pg	privesc	Pager with a "!" shell escape.
man	privesc	Pages through less, which then gives the "!/bin/sh" escape.
awk	privesc	"awk 'BEGIN {system(\"/bin/sh\")}'" runs a shell as the owner.
gawk	privesc	Same system() escape as awk.
mawk	privesc	Same system() escape as awk.
nawk	privesc	Same system() escape as awk.
perl	privesc	"perl -e 'exec \"/bin/sh\";'" - and Perl honours SUID directly.
