# SilverDetector knowledge base: TCP/UDP ports
#
# Columns are TAB separated. Lines starting with # are ignored.
# Add your own rows here, or (better) in ~/.config/silverdetector/data/ports.tsv -
# a row there replaces the row with the same port number, so you can disagree with
# anything below without editing this file.
#
# proto  tcp | udp | any
# risk   normal        expected anywhere, exposed or not              -> OK
#        local         fine on 127.0.0.1, wrong when it answers off-box -> OK / WARN
#        local-strict  same, but unauthenticated by default            -> OK / CRIT
#        sensitive     worth a look wherever it is                     -> NOTICE / WARN
#        dangerous     cleartext, legacy or routinely exploited        -> WARN / CRIT
#        malware       default port of a handler, backdoor or C2       -> CRIT always
#
port	proto	service	risk	description
7	any	echo	dangerous	Echo service. Obsolete, and a UDP amplification reflector. Nothing should run this.
9	any	discard	sensitive	Discard service (/dev/null over the network). Occasionally used by Wake-on-LAN tooling.
13	any	daytime	dangerous	Daytime. Obsolete diagnostic service, usable for amplification.
17	any	qotd	dangerous	Quote of the day. Obsolete, amplification reflector.
19	any	chargen	dangerous	Character generator. Classic UDP amplification source, disable it.
20	tcp	ftp-data	dangerous	FTP data channel. Cleartext file transfer.
21	tcp	ftp	dangerous	FTP control channel. Credentials and data travel in cleartext; check for anonymous login.
22	tcp	ssh	normal	OpenSSH. Encrypted remote login and file transfer. Expected on almost every Linux box.
23	tcp	telnet	dangerous	Telnet. Login and session in cleartext on the wire. Should not be running in 2020s.
25	tcp	smtp	sensitive	Mail submission/relay. Check it is not an open relay if it answers off-box.
37	any	time	dangerous	Time protocol. Obsolete, amplification reflector.
43	tcp	whois	sensitive	WHOIS server. Unusual on a workstation.
49	any	tacacs	sensitive	TACACS+ device authentication. Network-gear infrastructure, not a laptop service.
53	any	dns	local	DNS. On a desktop this is normally systemd-resolved or dnsmasq on 127.0.0.53. Answering off-box makes you an open resolver.
67	udp	dhcp-server	sensitive	DHCP server. Normal on a router or when you are running a rogue-DHCP test; not on a plain client.
68	udp	dhcp-client	normal	DHCP client. Every machine that gets an address by DHCP has this.
69	udp	tftp	dangerous	TFTP. No authentication at all; frequently holds router configs and PXE images.
79	tcp	finger	dangerous	Finger. Leaks usernames and login times. Obsolete.
