# Windows privilege-escalation signatures, mapped to the HackTricks "Local Windows Privilege
# Escalation" checklist. The winprivesc detector matches each `pattern` (a case-insensitive
# regex) against every line of a winPEAS run or a raw enum snippet, and reports the ones that
# hit with a plain-English "what it is" and "where to look / how to abuse it".
#
# ADD YOUR OWN: append a row. pattern is Java regex (case-insensitive, no need for (?i)), tabs
# separate columns, and `next` is the exploitation pointer. category is just for grouping.
#
# id                pattern    severity  category  title  meaning  next
id	pattern	severity	category	title	meaning	next
always_install_elevated	AlwaysInstallElevated.{0,40}(0x1|reg_dword\s+0x1|:\s*1|=\s*1|is enabled|set to 1|enabled)	CRITICAL	Config	AlwaysInstallElevated is enabled	Both the HKLM and HKCU policy are set, so any .msi is installed with SYSTEM rights. One of the cleanest local escalations there is.	msfvenom -f msi -p windows/x64/exec CMD=... -o e.msi ; msiexec /quiet /qn /i e.msi   (checklist: AlwaysInstallElevated)
unquoted_service_path	unquoted(\s+service)?\s+path|unquoted.{0,20}binpath	CRITICAL	Services	Unquoted service path	A service's binary path has spaces and no quotes, so Windows tries C:\Program.exe, C:\Program Files\App.exe, ... in turn. If you can write an earlier prefix, your exe runs as the service account.	drop your exe at the writable prefix and restart the service (sc stop/start)   (checklist: unquoted service binary path)
modifiable_service	(you can (modify|write|change)|can be modified|modifiable by|writable by (you|everyone|users)).{0,40}(service|binary|imagepath)	CRITICAL	Services	Modifiable service or service binary	You have write access to a service definition, its binary, or its folder - replace the binary or repoint ImagePath and it runs as the service account (often SYSTEM).	sc config <svc> binPath= "C:\path\evil.exe" ; sc stop/start <svc>   (checklist: modify a service or its binary)
service_writable_perms	SERVICE_(ALL_ACCESS|CHANGE_CONFIG|STOP|START).{0,30}(Everyone|Authenticated Users|BUILTIN\\Users|NT AUTHORITY\\INTERACTIVE)	CRITICAL	Services	Service permissions grant control to normal users	The service ACL lets a non-admin group change its configuration or start/stop it - enough to point it at your binary.	accesschk.exe -uwcqv <group> <svc> ; sc config binPath=   (checklist: modify a service)
writable_service_reg	(HKLM\\SYSTEM\\CurrentControlSet\\Services).{0,60}(FullControl|Write|KEY_ALL_ACCESS).{0,20}(Users|Everyone|Authenticated)	CRITICAL	Services	Writable service registry key	You can write a service's registry key - set ImagePath (or a FailureCommand) to your binary and it runs as the service account.	reg add ...\Services\<svc> /v ImagePath /d evil.exe /f   (checklist: modify the registry of a service)
wsus_http	(wsus|wuserver).{0,40}http://	WARN	Config	WSUS over cleartext HTTP	Updates are fetched over HTTP, so a man-in-the-middle can serve a malicious "update" that runs as SYSTEM.	WSUSpendu / pywsus with an ARP/DNS MITM   (checklist: WSUS exploit)
uac_disabled	EnableLUA\s+(REG_DWORD\s+)?(0x0|0)\b	WARN	UAC	UAC is disabled (EnableLUA=0)	User Account Control is off, so an admin-group token is already fully elevated - no bypass needed.	run your payload; the medium/high integrity split is gone   (checklist: UAC)
uac_no_prompt	ConsentPromptBehaviorAdmin\s+(REG_DWORD\s+)?(0x0|0)\b	NOTICE	UAC	UAC elevates admins with no prompt	Admins are auto-elevated silently, which makes several UAC bypasses trivial.	fodhelper / computerdefaults UAC bypass   (checklist: UAC)
wdigest_plaintext	(UseLogonCredential|wdigest).{0,30}(0x1|:\s*1|=\s*1|enabled)	WARN	Credentials	WDigest stores cleartext credentials	LSASS keeps cleartext passwords in memory, so a dump yields plaintext, not just hashes.	procdump -ma lsass.exe then mimikatz sekurlsa::wdigest   (checklist: WDigest)
lsa_no_ppl	RunAsPPL\s+(REG_DWORD\s+)?(0x0|0)\b|LSA Protection.{0,20}(disabled|not enabled|0)	NOTICE	Credentials	LSA Protection (RunAsPPL) is off	LSASS is not protected as a PPL, so its memory can be dumped for credentials.	procdump/comsvcs MiniDump lsass then mimikatz   (checklist: LSA Protection)
