# Known-vulnerable version ranges for network services, matched automatically by the ftp, smb
# and http detectors. min/max are an INCLUSIVE version range; leave either blank for open-ended
# ("everything up to max", or "min and later"). Keyed on the product name the detector reports
# (lowercase): vsftpd, proftpd, pure-ftpd, samba, apache, nginx, php, openssl, ...
#
# Ranges follow upstream/mainline. Distributions backport fixes, so a version inside a range is
# a lead to confirm (check the exact package build), not a guarantee. Add rows freely.
#
product	min	max	cve	severity	description
vsftpd	2.3.4	2.3.4	CVE-2011-2523	CRITICAL	Backdoored release: a username ending in ":)" opens a root shell on port 6200. Instant root, no auth.
proftpd	1.3.5	1.3.5	CVE-2015-3306	CRITICAL	mod_copy SITE CPFR/CPTO lets an unauthenticated user copy files anywhere - stage a web shell and get RCE.
proftpd	1.3.0	1.3.0	CVE-2006-5815	CRITICAL	Pre-auth stack overflow (sreplace) - remote code execution.
proftpd	1.2.0	1.2.10	CVE-2004-0346	WARN	FTP command handling overflow in older 1.2.x.
pure-ftpd	1.0.0	1.0.21	CVE-2011-0418	WARN	Glob-expansion resource exhaustion / older pure-ftpd hardening issues; upgrade.
samba	3.5.0	4.6.3	CVE-2017-7494	CRITICAL	SambaCry: a writable share plus is_known_pipename() loads an attacker .so and runs it as root. Fixed in 4.6.4/4.5.10/4.4.14.
samba	4.0.0	4.15.4	CVE-2021-44142	WARN	VFS fruit module out-of-bounds heap read/write - RCE as the smbd process (often root). Fixed in 4.15.5/4.14.12/4.13.17.
samba	3.0.0	3.0.24	CVE-2007-2447	CRITICAL	"Username map script" command injection - pre-auth RCE as root when that option is set.
apache	2.4.49	2.4.49	CVE-2021-41773	CRITICAL	Path-traversal that reads files outside DocumentRoot and, with mod_cgi, runs commands. 2.4.49 only.
apache	2.4.50	2.4.50	CVE-2021-42013	CRITICAL	Incomplete fix for CVE-2021-41773 - traversal and RCE return in 2.4.50. Fixed in 2.4.51.
apache	2.4.17	2.4.38	CVE-2019-0211	WARN	Local privilege escalation via the scoreboard ("Carpe Diem") - a worker gets root on the host.
apache	2.2.0	2.2.34	CVE-2017-9798	WARN	"Optionsbleed": memory disclosure via OPTIONS on .htaccess-limited resources.
nginx	0.5.6	1.13.2	CVE-2017-7529	WARN	Integer overflow in the range filter leaks memory (cached response contents) to a remote user.
nginx	0.8.41	1.5.6	CVE-2013-2028	WARN	Chunked-transfer stack overflow - remote code execution / DoS.
php	0	5.4.1	CVE-2012-1823	CRITICAL	php-cgi argument injection: a query string of "?-s"/"?-d ..." runs code. End-to-end RCE on old php-cgi.
php	0	5.6.40	EOL-PHP5	NOTICE	PHP 5.x is end-of-life and unpatched upstream. Treat any 5.x as carrying unfixed bugs; enumerate the exact version and check searchsploit.
php	7.0.0	7.4.33	EOL-PHP7	NOTICE	PHP 7.x is end-of-life upstream. Confirm the distro is still backporting security fixes for this build.
openssl	1.0.1	1.0.1f	CVE-2014-0160	WARN	Heartbleed: a malformed TLS heartbeat reads up to 64KB of process memory - keys, sessions, credentials.
openssl	0.9.8	0.9.8za	CVE-2014-3566	NOTICE	Exposure to POODLE-era SSLv3 downgrade; disable SSLv3.
tomcat	9.0.0	9.0.30	CVE-2020-1938	CRITICAL	Ghostcat: the AJP connector (usually 8009) reads and can execute application files. Also 7.x/8.5.x.
tomcat	8.5.0	8.5.50	CVE-2020-1938	CRITICAL	Ghostcat on the 8.5.x line - AJP file read/RCE. Fixed in 8.5.51.
lighttpd	1.4.0	1.4.50	CVE-2019-11072	NOTICE	Older lighttpd mod_* issues; upgrade to a current 1.4.x.
exim	4.87	4.91	CVE-2019-10149	CRITICAL	"Return of the Wizard": remote command execution as root via a crafted recipient. Patch immediately.
webmin	1.890	1.920	CVE-2019-15107	CRITICAL	Backdoored/parameter-injection RCE in the password-reset feature - unauthenticated root.
