# Active Directory attack & enumeration signatures. The `ad` detector strips terminal colours
# off each line of an AD tooling dump - NetExec/CrackMapExec, enum4linux-ng, ldapsearch,
# BloodHound/SharpHound, PowerView, Impacket, Rubeus, Certipy, Responder, the coercion tools -
# tests it against every `pattern` (a case-insensitive Java regex), and reports each hit with a
# plain-English "what it is" and "next: where to take it".
#
# This is the same regex-per-row engine the winPEAS/linPEAS detectors use (silverdetector.detect.
# Signatures), so covering one more tool, technique or CVE is a single new row - no code.
#
# ADD YOUR OWN: append a row. `pattern` is a Java regex (already case-insensitive), tabs separate
# columns, `category` only groups the output, and `next` is the exploitation pointer. Write the
# pattern to match the line that means the finding is TRUE (e.g. "signing:False", "(Pwn3d!)",
# "Vulnerable to ESC1"), not the line that merely checks for it.
#
# id                pattern    severity  category  title  meaning  next
id	pattern	severity	category	title	meaning	next
# ---- tool banners (low severity: just says which tool produced the paste) --------------------
tool_netexec	\b(netexec|crackmapexec|\bnxc\b|\bcrackmap\b)\b	NOTICE	Enum	NetExec / CrackMapExec run	The Swiss-army knife for AD: authenticates over SMB/LDAP/WinRM/MSSQL/RDP across a subnet and enumerates, sprays and dumps.	nxc smb <targets> -u user -p pass --shares --users --pass-pol ; add --sam/--lsa/--ntds once you are admin
tool_impacket	Impacket v[0-9]	INFO	Enum	Impacket toolkit	The scripts (secretsdump, GetUserSPNs, GetNPUsers, psexec, ntlmrelayx, ...) behind most AD attacks. The specific script tells you the technique.	pick the script for the step you are on; see the Kerberos/dumping findings below
tool_bloodhound	(bloodhound|sharphound|azurehound|Invoke-BloodHound|\bneo4j\b)	NOTICE	Enum	BloodHound / SharpHound collection	Graphs the domain's users, groups, sessions and ACLs to find the shortest path to Domain Admin. The edges below are what to abuse.	import the zip into BloodHound; run "Shortest paths to Domain Admins" and read the edges
tool_powerview	(PowerView|SharpView|Get-Domain\b|Get-NetUser|Get-NetGroup|Get-NetComputer|Find-InterestingDomainAcl|Get-ObjectAcl)	NOTICE	Enum	PowerView / AD PowerShell enumeration	In-domain enumeration from a foothold - users, groups, ACLs, delegation, trusts - without dropping tools that touch disk.	Get-DomainUser -SPN ; Get-DomainUser -PreauthNotRequired ; Find-InterestingDomainAcl
tool_ldapsearch	(ldapsearch|windapsearch|ldapdomaindump|ldeep|adexplorer)	NOTICE	Enum	LDAP enumeration	Reading the directory over LDAP. Every user/computer attribute is a lead: SPNs, UAC flags, delegation, LAPS, descriptions.	ldapsearch -x -H ldap://<dc> -b "DC=corp,DC=local" ; grep servicePrincipalName / userAccountControl
tool_certipy	(\bcertipy\b|Certify\.exe|\bCertify\b|certutil.*-catemplates)	NOTICE	ADCS	Certipy / Certify (AD CS enumeration)	Enumerating Active Directory Certificate Services for vulnerable templates and CA misconfigurations (the ESC1-ESC13 family).	certipy find -u user@dom -p pass -dc-ip <dc> -vulnerable -stdout
tool_kerbrute	(kerbrute)	NOTICE	Enum	kerbrute (Kerberos pre-auth enumeration)	Validates usernames and sprays passwords over Kerberos pre-auth - fast, and by default not logged as 4625 logon failures.	kerbrute userenum -d dom --dc <dc> users.txt ; kerbrute passwordspray -d dom users.txt 'Season2024!'
# ---- enumeration findings --------------------------------------------------------------------
null_session	(null session|sessions using username '', password ''|anonymous logon|allows sessions using a NULL)	WARN	Enum	Null / anonymous session allowed	The host accepts an unauthenticated SMB/RPC session, so you can enumerate users, groups and the password policy with no credentials.	enum4linux-ng -A <host> ; rpcclient -U "" -N <host> then enumdomusers
